"Work item ID","Work type","Summary","Description","Parent","Priority","Labels","Labels","Labels"
"131","Epic","Predictive Analytics and Capacity","Forecast abnormal behavior, capacity, failure, drift, and change risk.

PROJECT METADATA
Phase: Phase 4
Priority: High
Component: Predictive Analytics and Capacity
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-4"
"144","Epic","Security Guardian and Compliance","Continuously evaluate hardening, security posture, configuration, vulnerability, and policy.

PROJECT METADATA
Phase: Phase 4
Priority: High
Component: Security Guardian and Compliance
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-4"
"157","Epic","Remediation Advisor and Change Safety","Create safe remediation options with risk, backup, rollback, approvals, and verification.

PROJECT METADATA
Phase: Phase 5
Priority: High
Component: Remediation Advisor and Change Safety
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-5"
"170","Epic","Human Approval and Orchestration","Control approvals and execution through durable workflows and existing automation systems.

PROJECT METADATA
Phase: Phase 5
Priority: High
Component: Human Approval and Orchestration
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-5"
"183","Epic","Operations DNA and Decision Graph","Capture organizational context, decisions, practices, ownership, risk tolerance, and outcomes.

PROJECT METADATA
Phase: Phase 6
Priority: High
Component: Operations DNA and Decision Graph
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-6"
"196","Epic","AI Training and Fine-Tuning","Build governed datasets and pipelines for model adaptation without starting from zero.

PROJECT METADATA
Phase: Phase 6
Priority: High
Component: AI Training and Fine-Tuning
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-6"
"209","Epic","AI Evaluation Trust and Governance","Measure model quality, recommendation value, safety, drift, cost, and engineer trust.

PROJECT METADATA
Phase: Phase 6
Priority: High
Component: AI Evaluation Trust and Governance
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-6"
"222","Epic","Portal API and Integrations","Deliver usable incident, graph, recommendation, governance, search, and integration experiences.

PROJECT METADATA
Phase: Phase 3
Priority: High
Component: Portal API and Integrations
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-3"
"235","Epic","Platform Engineering Security and Reliability","Deploy, secure, observe, scale, back up, and operate the product on Kubernetes.

PROJECT METADATA
Phase: Phase 0
Priority: High
Component: Platform Engineering Security and Reliability
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-0"
"248","Epic","Pilot Adoption and Rollout","Validate value and safety through historical replay, shadow mode, controlled execution, and phased adoption.

PROJECT METADATA
Phase: Phase 6
Priority: High
Component: Pilot Adoption and Rollout
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-6"
"2","Story","Approve product vision and scope","Deliver 'Approve product vision and scope' as part of the 'Product and Architecture Foundation' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 0
Priority: Highest
Component: Product and Architecture Foundation
Suggested owner role: Platform Engineer
Story points: 3

ACCEPTANCE CRITERIA
- Approve product vision and scope is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","1","Highest","boip","phase-0","epic-01"
"4","Story","Define personas and end-to-end workflows","Deliver 'Define personas and end-to-end workflows' as part of the 'Product and Architecture Foundation' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 0
Priority: Highest
Component: Product and Architecture Foundation
Suggested owner role: Platform Engineer
Story points: 3
Dependencies: Approve product vision and scope

ACCEPTANCE CRITERIA
- Define personas and end-to-end workflows is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","1","Highest","boip","phase-0","epic-01"
"6","Story","Define non-functional requirements and service objectives","Deliver 'Define non-functional requirements and service objectives' as part of the 'Product and Architecture Foundation' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 0
Priority: Highest
Component: Product and Architecture Foundation
Suggested owner role: Platform Engineer
Story points: 3
Dependencies: Define personas and end-to-end workflows

ACCEPTANCE CRITERIA
- Define non-functional requirements and service objectives is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","1","Highest","boip","phase-0","epic-01"
"8","Story","Create system context and trust boundaries","Deliver 'Create system context and trust boundaries' as part of the 'Product and Architecture Foundation' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 0
Priority: Highest
Component: Product and Architecture Foundation
Suggested owner role: Platform Engineer
Story points: 3
Dependencies: Define non-functional requirements and service objectives

ACCEPTANCE CRITERIA
- Create system context and trust boundaries is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","1","Highest","boip","phase-0","epic-01"
"10","Story","Establish architecture decision record process","Deliver 'Establish architecture decision record process' as part of the 'Product and Architecture Foundation' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 0
Priority: High
Component: Product and Architecture Foundation
Suggested owner role: Platform Engineer
Story points: 5
Dependencies: Create system context and trust boundaries

ACCEPTANCE CRITERIA
- Establish architecture decision record process is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","1","High","boip","phase-0","epic-01"
"11","Story","Define operational and AI success baselines","Deliver 'Define operational and AI success baselines' as part of the 'Product and Architecture Foundation' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 0
Priority: High
Component: Product and Architecture Foundation
Suggested owner role: Platform Engineer
Story points: 3
Dependencies: Establish architecture decision record process

ACCEPTANCE CRITERIA
- Define operational and ai success baselines is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","1","High","boip","phase-0","epic-01"
"12","Story","Create license and third-party dependency inventory","Deliver 'Create license and third-party dependency inventory' as part of the 'Product and Architecture Foundation' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 0
Priority: High
Component: Product and Architecture Foundation
Suggested owner role: Platform Engineer
Story points: 3
Dependencies: Define operational and AI success baselines

ACCEPTANCE CRITERIA
- Create license and third-party dependency inventory is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","1","High","boip","phase-0","epic-01"
"13","Story","Approve phased roadmap and release gates","Deliver 'Approve phased roadmap and release gates' as part of the 'Product and Architecture Foundation' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 0
Priority: High
Component: Product and Architecture Foundation
Suggested owner role: Platform Engineer
Story points: 3
Dependencies: Create license and third-party dependency inventory

ACCEPTANCE CRITERIA
- Approve phased roadmap and release gates is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","1","High","boip","phase-0","epic-01"
"15","Story","Define connector capability contract","Deliver 'Define connector capability contract' as part of the 'Connector SDK and Discovery Framework' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: Connector SDK and Discovery Framework
Suggested owner role: Platform Engineer
Story points: 3

ACCEPTANCE CRITERIA
- Define connector capability contract is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","14","High","boip","phase-1","epic-02"
"17","Story","Implement secret and credential abstraction","Deliver 'Implement secret and credential abstraction' as part of the 'Connector SDK and Discovery Framework' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: Connector SDK and Discovery Framework
Suggested owner role: Platform Engineer
Story points: 5
Dependencies: Define connector capability contract

ACCEPTANCE CRITERIA
- Implement secret and credential abstraction is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","14","High","boip","phase-1","epic-02"
"19","Story","Implement adaptive collection scheduler","Deliver 'Implement adaptive collection scheduler' as part of the 'Connector SDK and Discovery Framework' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: Connector SDK and Discovery Framework
Suggested owner role: Platform Engineer
Story points: 5
Dependencies: Implement secret and credential abstraction

ACCEPTANCE CRITERIA
- Implement adaptive collection scheduler is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","14","High","boip","phase-1","epic-02"
"21","Story","Implement webhook and subscription framework","Deliver 'Implement webhook and subscription framework' as part of the 'Connector SDK and Discovery Framework' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: Connector SDK and Discovery Framework
Suggested owner role: Platform Engineer
Story points: 8
Dependencies: Implement adaptive collection scheduler

ACCEPTANCE CRITERIA
- Implement webhook and subscription framework is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","14","High","boip","phase-1","epic-02"
"23","Story","Define normalization and connector error model","Deliver 'Define normalization and connector error model' as part of the 'Connector SDK and Discovery Framework' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: Connector SDK and Discovery Framework
Suggested owner role: Platform Engineer
Story points: 3
Dependencies: Implement webhook and subscription framework

ACCEPTANCE CRITERIA
- Define normalization and connector error model is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","14","High","boip","phase-1","epic-02"
"24","Story","Build connector simulator and contract test harness","Deliver 'Build connector simulator and contract test harness' as part of the 'Connector SDK and Discovery Framework' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: Connector SDK and Discovery Framework
Suggested owner role: Platform Engineer
Story points: 5
Dependencies: Define normalization and connector error model

ACCEPTANCE CRITERIA
- Build connector simulator and contract test harness is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","14","High","boip","phase-1","epic-02"
"25","Story","Implement rate limiting retry and circuit breaker behavior","Deliver 'Implement rate limiting retry and circuit breaker behavior' as part of the 'Connector SDK and Discovery Framework' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: Connector SDK and Discovery Framework
Suggested owner role: Platform Engineer
Story points: 5
Dependencies: Build connector simulator and contract test harness

ACCEPTANCE CRITERIA
- Implement rate limiting retry and circuit breaker behavior is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","14","High","boip","phase-1","epic-02"
"26","Story","Build source coverage and freshness dashboard","Deliver 'Build source coverage and freshness dashboard' as part of the 'Connector SDK and Discovery Framework' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: Connector SDK and Discovery Framework
Suggested owner role: Platform Engineer
Story points: 5
Dependencies: Implement rate limiting retry and circuit breaker behavior

ACCEPTANCE CRITERIA
- Build source coverage and freshness dashboard is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","14","High","boip","phase-1","epic-02"
"28","Story","Implement vCenter inventory discovery","Deliver 'Implement vCenter inventory discovery' as part of the 'VMware vSphere Integration' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: VMware vSphere Integration
Suggested owner role: Platform Engineer
Story points: 5

ACCEPTANCE CRITERIA
- Implement vcenter inventory discovery is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","27","High","boip","phase-1","epic-03"
"30","Story","Collect ESXi and cluster configuration snapshots","Deliver 'Collect ESXi and cluster configuration snapshots' as part of the 'VMware vSphere Integration' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: VMware vSphere Integration
Suggested owner role: Platform Engineer
Story points: 5
Dependencies: Implement vCenter inventory discovery

ACCEPTANCE CRITERIA
- Collect esxi and cluster configuration snapshots is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","27","High","boip","phase-1","epic-03"
"32","Story","Integrate vSphere performance metrics","Deliver 'Integrate vSphere performance metrics' as part of the 'VMware vSphere Integration' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: VMware vSphere Integration
Suggested owner role: Platform Engineer
Story points: 5
Dependencies: Collect ESXi and cluster configuration snapshots

ACCEPTANCE CRITERIA
- Integrate vsphere performance metrics is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","27","High","boip","phase-1","epic-03"
"34","Story","Collect tasks events alarms and recent changes","Deliver 'Collect tasks events alarms and recent changes' as part of the 'VMware vSphere Integration' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: VMware vSphere Integration
Suggested owner role: Platform Engineer
Story points: 5
Dependencies: Integrate vSphere performance metrics

ACCEPTANCE CRITERIA
- Collect tasks events alarms and recent changes is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","27","High","boip","phase-1","epic-03"
"36","Story","Integrate VMware log references and search","Deliver 'Integrate VMware log references and search' as part of the 'VMware vSphere Integration' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: VMware vSphere Integration
Suggested owner role: Platform Engineer
Story points: 5
Dependencies: Collect tasks events alarms and recent changes

ACCEPTANCE CRITERIA
- Integrate vmware log references and search is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","27","High","boip","phase-1","epic-03"
"37","Story","Map VM host datastore network and service dependencies","Deliver 'Map VM host datastore network and service dependencies' as part of the 'VMware vSphere Integration' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: VMware vSphere Integration
Suggested owner role: Platform Engineer
Story points: 5
Dependencies: Integrate VMware log references and search

ACCEPTANCE CRITERIA
- Map vm host datastore network and service dependencies is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","27","High","boip","phase-1","epic-03"
"38","Story","Implement VMware hardening and drift checks","Deliver 'Implement VMware hardening and drift checks' as part of the 'VMware vSphere Integration' capability. The work must use canonical schemas, preserve provenance, enforce least privilege, emit operational telemetry, include failure handling, and be deployable through the standard CI/CD path.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: VMware vSphere Integration
Suggested owner role: Platform Engineer
Story points: 5
Dependencies: Map VM host datastore network and service dependencies

ACCEPTANCE CRITERIA
- Implement vmware hardening and drift checks is implemented or documented in version control.
- Automated tests or objective validation checks pass.
- Security, authorization, audit, and failure behavior are documented and tested.
- Metrics, logs, traces, and operational ownership are defined.
- Acceptance is demonstrated in the lab or agreed pilot environment.

DEFINITION OF DONE
Code or documentation merged; tests pass; deployment and rollback documented; telemetry and audit verified; product acceptance recorded.","27","High","boip","phase-1","epic-03"
